code,location:,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
596094,Martinice,349,253,252,33,0,0,31,1,6,18,1,0,0,1,0,18,0,16,74,0,35,0,3,0,1,14,0
596108,MatÏjov,181,122,122,12,0,0,12,1,2,6,1,0,0,0,0,8,0,13,40,0,17,0,0,0,0,9,1
596116,MÏ¯Ìn,1571,1051,1043,61,3,0,83,2,22,91,12,8,12,0,2,119,0,34,325,2,157,0,5,2,10,80,13
587516,Mezi¯ÌËko,152,101,101,10,1,0,13,0,2,4,0,1,1,0,0,12,0,0,18,0,24,0,0,0,0,15,0
549835,MilasÌn,38,26,24,0,0,0,4,0,1,2,0,0,0,0,0,3,0,0,8,0,3,0,0,0,0,1,2
587770,MileöÌn,74,49,49,1,0,0,12,0,1,6,0,0,0,0,0,3,0,0,7,0,10,0,0,0,0,9,0
596132,Miroöov,115,78,78,9,0,0,4,1,4,7,0,0,3,1,0,7,0,3,13,0,9,0,3,0,0,14,0
596141,Moravec,537,323,322,22,2,0,33,0,8,25,3,3,6,1,0,26,0,11,85,0,63,0,0,0,1,32,1
596159,MoraveckÈ Pavlovice,41,31,31,1,0,0,5,0,1,1,0,0,1,0,0,5,0,2,6,0,2,0,0,0,2,5,0
596183,NetÌn,273,189,188,18,0,1,19,1,5,15,2,3,1,0,0,18,0,20,36,1,32,0,1,0,1,14,0
596205,NÌûkov,764,517,514,40,3,0,53,1,14,63,6,6,1,1,1,36,0,17,123,3,106,1,2,2,0,33,2
596213,Nov· Ves,141,103,103,6,0,0,12,0,1,18,1,1,3,0,0,1,0,1,32,0,18,0,0,1,0,8,0
596221,Nov· Ves u NovÈho MÏsta na MoravÏ,502,369,366,30,0,0,30,0,3,4,1,1,4,0,0,26,0,11,81,0,161,0,0,0,0,12,2
587974,NovÈ Dvory,270,180,180,13,0,0,14,1,16,17,3,2,4,0,0,16,0,5,46,0,28,0,3,0,0,11,1
596230,NovÈ MÏsto na MoravÏ,8117,5148,5106,556,5,2,776,4,179,357,50,19,59,2,5,525,4,201,1311,2,582,0,25,3,14,384,41
596248,NovÈ Sady,175,119,118,13,0,1,2,0,8,13,1,2,1,0,0,13,0,2,35,2,12,0,1,0,0,9,3
596256,NovÈ VeselÌ,1†042,762,751,84,0,0,60,0,29,66,11,4,16,0,0,82,2,55,194,1,90,0,2,2,0,40,13
596264,Nov˝ Jimramov,58,45,45,2,0,0,2,0,4,5,0,0,1,0,0,4,0,0,13,0,11,0,0,1,0,1,1
596272,Nyklovice,128,81,81,6,0,0,16,0,0,4,4,3,0,0,0,7,0,2,5,0,23,0,0,1,0,10,0
596281,ObyËtov,335,226,226,16,0,0,15,0,8,27,2,1,2,0,0,16,0,7,62,0,57,0,0,0,0,12,1
596329,O¯echov,266,178,177,8,0,0,23,0,3,23,1,5,2,0,1,16,0,3,48,0,24,0,1,0,1,15,3
